#NAME,MSINI,A,PER,TT,DEPTH,I,R,T14,RA,DEC,V,VURL,VREF,TEFF,RSTAR
#,mjupiter,au,day,,,deg,rjupiter,day,hr,deg,,,,k,rsun
Kepler-275 d,,0.212092,35.676062,2454978.00066,,,0.297083,7.634,19.49864999983046,38.51491944419013,,,,6165,1.383
Kepler-52 b,,0.0630945,7.8773565,2455009.37692,,,0.187182,0.100929,19.11586888843113,49.97575000021193,,,,4075,0.52
OGLE-TR-10 b,0.626643,0.0434855,3.101278,2452070.2223,0.0121,90,1.25,0.136213,17.85784722222222,-29.87636111153497,15.78,,,5950,1.17
Kepler-370 b,,0.0539702,4.57953,2454968.09728,,,0.14185,3.282,19.47808055559794,40.91631111145019,,,,5852,0.9
HAT-P-2 b,8.85612,0.0679088,5.6334729,2454387.49375,0.005223,86.72,1.157,0.1787,16.34343611081441,41.0481555557251,8.71,,,6290,1.506
HAT-P-24 b,0.685652,0.0465021,3.35524,2455216.97667,0.009409,88.6,1.242,0.1539,7.255005555682712,14.26258333312141,11.76,,,6373,1.317
Kepler-124 c,,0.112713,13.821375,2454964.79391,,,0.156125,3.552,19.11685000000729,49.06491111119588,,,,4984,0.636
Kepler-184 c,,0.145651,20.303005,2455009.80167,,,0.175752,4.348,19.4634611108568,43.0747111108568,,,,5788,0.873
Kepler-318 b,,0.0546218,4.662715,2454967.08179,,,0.420198,2.746,19.89885000016954,46.79361944410536,,,,5746,1.189
Kepler-20 f,0,0.137859,19.57706,2454968.219,0.0001004,88.68,0.0918085,0.173823,19.17986777729458,42.33869444423252,12.51,,,5466,0.944
Kepler-198 b,,0.13337,17.790037,2455015.43638,,,0.251584,4.478,19.37821111149258,38.69101111094157,,,,5574,0.94
Kepler-216 b,,0.0762713,7.693641,2455009.50106,,,0.209653,5.05,19.58186944431729,46.12914999961853,,,,6091,1.26
Kepler-292 d,,0.0719945,7.055679,2455014.90973,,,0.198947,3.145,19.71773888885975,42.42428055551317,,,,5299,0.826
Kepler-53 b,,0.136705,18.6489525,2455007.77608,,,0.257599,0.186729,19.36411833339267,40.56244444423251,,,,5858,0.89
Kepler-11 b,0.01352,0.0914497,10.3039,2455589.7378,0.0003013,89.64,0.1604,0.1715,19.80767277770572,41.90911111089918,,,,5663,1.065
Kepler-69 b,,0.104565,13.722341,2454970.8414,0.000597,89.62,0.199661,0.207563,19.55072916666667,44.86888888888889,14,http://adsabs.harvard.edu/abs/2012PASP..124..316E,Everett 2012,5638,0.93
Kepler-27 c,0,0.168484,31.3309,2454986.4274,0.00355097,,0.436759,0.197917,19.48245138910081,41.08586111121708,,,,5400,0.59
Kepler-221 c,,0.0623799,5.690586,2455007.04865,,,0.261397,2.522,19.77698055585225,46.83526944438616,,,,5243,0.821
Kepler-7 b,0.436942,0.0622369,4.885525,2454967.27571,0.00679141,86.5,1.478,0.216366,19.2387677775489,41.08980555534363,,,,5933,1.843
WASP-24 b,1.08429,0.0365155,2.3412127,2455081.37941,0.01008,83.64,1.3,0.111845,15.14770527733697,2.343305555979411,11.306,,,6075,1.331
HAT-P-29 b,0.778006,0.0666842,5.723186,2455197.5754,0.00859329,87.1,1.107,0.1407,2.208748333189223,51.77875,11.83,,,6087,1.224
Kepler-38 b,,0.429659,105.595,,,89.446,0.387735,,19.12202361106873,42.27919444402059,,,,5623,1.757
Kepler-147 b,,0.10603,12.610584,2454971.19015,,,0.136497,4.448,19.19838055504693,39.08718055566152,,,,6012,1.468
Kepler-79 d,,0.272969,52.09059,2454991.74508,,,0.677134,8.632,20.03448055558735,44.38158055517409,,,,6189,1.403
Kepler-344 c,,0.490824,125.596809,2455048.44167,,,0.263181,7.533,19.49998055564033,46.324411110878,,,,5774,0.976
HAT-P-11 b,0.0825071,0.0525443,4.8878162,2454605.89132,0.003318,88.5,0.422,0.0957,19.84726111094157,48.08029444482592,9.578,,,4780,0.75
Kepler-171 b,,0.0506781,4.166972,2455002.71415,,,0.208761,2.741,19.78478888882531,41.75553888903724,,,,5642,0.839
Kepler-330 b,,0.0799685,8.25978,2454986.98309,,,0.120439,3.005,19.22983055538601,44.80168055560853,,,,5117,0.722
Kepler-229 b,,0.0664249,6.252972,2455004.29884,,,0.196271,2.64,19.1333000002967,48.37578888893128,,,,5120,0.728
Kepler-144 c,,0.0914719,10.104665,2454968.55344,,,0.120439,2.278,18.79438055568271,42.7755111111535,,,,6075,1.235
Kepler-115 c,,0.0846204,8.990889,2454969.73792,,,0.231956,4.083,19.84746111128065,45.2619222217136,,,,5979,1.205
Kepler-320 c,,0.134093,17.934937,2454971.2182,,,0.122223,5.26,19.54756944444444,46.17513055536482,,,,6435,1.108
Kepler-274 c,,0.202153,33.197861,2454975.10044,,,0.164154,4.544,19.52818055576748,38.47728055530124,,,,6023,1.007
Kepler-26 e,,0.254259,46.827915,2454969.74318,,,0.215006,2.084,18.99606944402059,46.5665388891432,,,,4486,0.571
Kepler-254 d,,0.138108,18.746477,2454980.12909,,,0.223035,3.961,19.21098055521647,45.81651111072964,,,,5957,0.91
CoRoT-19 b,1.10724,0.0516604,3.89713,2455257.44104,0.00617796,88,1.29,0.195833,6.468905277782016,-0.1706944444444444,14.007,http://adsabs.harvard.edu/abs/2012A%26A...537A.136G,Guenther 2012,6090,1.65
Kepler-264 b,,0.231966,40.806231,2454988.71209,,,0.297083,14.253,19.46963888883591,37.37623888863457,,,,6158,1.55
Kepler-122 c,,0.105218,12.465988,2454967.00291,,,0.523686,5.063,19.40746111128065,39.94911111089918,,,,6050,1.216
Kepler-142 b,,0.0313162,2.024152,2455003.49468,,,0.177536,2.489,19.67458888901605,48.4812805557251,,,,5790,1.269
Kepler-240 c,,0.0779794,7.953528,2455007.66155,,,0.196271,2.598,19.41058055559794,40.75026944445239,,,,4985,0.739
Kepler-298 b,,0.0936962,10.475464,2454985.64156,,,0.174859,2.32,18.86931944449743,48.82536111089919,,,,4465,0.582
Kepler-363 d,,0.102192,11.932125,2454975.10532,,,0.182889,6.35,18.87946944448683,41.30538888878292,,,,5593,1.485
HAT-P-4 b,0.671507,0.0443853,3.056536,2454245.8154,0.006724,89.91,1.274,0.1775,15.33275555504693,36.22963888910082,11.2,,,5860,1.596
HAT-P-21 b,4.07346,0.0494951,4.124481,2454996.41312,0.009025,87.2,1.024,0.153,11.41832999997669,41.02794444402059,11.685,,,5588,1.105
Kepler-215 d,,0.192566,30.864423,2455005.93309,,,0.213222,2.719,19.66489999983046,45.21368888854981,,,,5739,1.027
Kepler-232 c,,0.0990113,11.379349,2454966.85018,,,0.34169,2.612,19.72108055565092,51.12173888895246,,,,5847,0.968
Kepler-346 b,,0.0682408,6.511127,2454964.7057,,,0.237309,1.509,19.20078888886504,46.11761111113761,,,,6033,1.021
Kepler-330 c,,0.124035,15.955387,2454976.30371,,,0.173967,3.917,19.22983055538601,44.80168055560853,,,,5117,0.722
WASP-45 b,1.00188,0.0405459,3.1260876,2455441.26925,0.01495,84.47,1.16,0.0746,0.349165833791097,-35.99827777756585,12,,,5140,0.945
Kepler-382 c,,0.103505,12.162701,2454970.53267,,,0.14185,1.958,19.94241111119588,45.86993055555556,,,,5600,0.945
Kepler-333 c,,0.163234,24.08821,2454967.42547,,,0.0990276,3.99,19.48573888884651,40.91358888838026,,,,4259,0.534
Kepler-17 b,2.47651,0.0267923,1.4857108,2455185.678035,0.0169799,87.22,1.33,0.0948333,19.89301833364699,47.815,13.78,,,5781,1.05
HAT-P-33 b,0.76507,0.0502683,3.474474,2455100.50255,0.0111725,86.7,1.827,0.1836,7.545616110695732,33.83502777775129,11.03,,,6401,1.777
Kepler-166 c,,0.206443,34.260281,2455016.22653,,,0.212329,4.84,19.54401111072964,48.88118888854981,,,,5413,0.742
Kepler-272 c,,0.0650321,6.057342,2454968.92549,,,0.159693,3.695,19.94183055559794,47.59383055580987,,,,5297,0.929
Kepler-157 c,,0.111181,13.5405,2455004.68032,,,0.199839,4.514,19.40648055553436,38.87561111132304,,,,5774,1.044
Kepler-308 c,,0.121047,15.38231,2454972.08277,,,0.192702,3.951,19.71901111099455,40.43954999976688,,,,5895,0.941
WASP-46 b,2.08495,0.0244921,1.43037,2455392.31553,0.02155,82.63,1.31,0.06973,21.24912805557251,-55.87177777767182,12.9,,,5620,0.917
Kepler-157 b,,0.028229,1.732342,2454967.5302,,,0.117763,2.186,19.40648055553436,38.87561111132304,,,,5774,1.044
Kepler-52 d,,0.215129,36.445171,2454984.60115,,,0.173967,4.153,19.11586944474114,49.97575000021193,,,,4263,0.556
Kepler-197 c,,0.0929448,10.349695,2455007.06421,,,0.109733,4.251,19.6817611111535,50.55898055606418,,,,6004,1.12
Kepler-163 b,,0.0770446,7.810937,2454965.3043,,,0.0936747,3.359,19.66685000000729,46.98733055565092,,,,5776,0.917
Kepler-121 c,,0.23273,41.008011,2454980.03476,,,0.202516,3.978,19.0774694442749,39.67799999978807,,,,5311,0.701
Kepler-191 b,,0.0904732,9.939632,2454964.58517,,,0.119547,2.917,19.41223055521647,45.32316944440206,,,,5282,0.789
Kepler-123 b,,0.130568,17.232366,2454968.09113,,,0.262289,4.566,19.79991111119588,42.78196111149258,,,,6089,1.264
Kepler-320 b,,0.0806883,8.371554,2454970.67704,,,0.101704,4.04,19.54756944444444,46.17513055536482,,,,6435,1.108
HAT-P-1 b,0.531143,0.0553326,4.4652934,2454363.94656,0.0126338,86.11,1.242,0.116427,22.96300694465637,38.67494444423252,10.33,,,5975,1.135
Kepler-201 b,,0.170313,25.672083,2455025.09705,,,0.219467,5.627,19.57506944444444,41.27281944433848,,,,6065,1.229
OGLE2-TR-L9 b,4.50213,0.0413279,2.4855335,2454492.79765,0.0117657,79.8,1.61,0.15712,11.13199472215441,-61.14625,,,,6933,1.53
Kepler-54 b,,0.0626016,8.0109434,2455003.20573,,,0.187182,0.142204,19.65159583330154,43.05627777788374,,,,3705,0.5
Kepler-355 c,,0.170712,25.762294,2454980.70457,,,0.24177,6.816,19.05330000003179,42.81178055551317,,,,6184,1.066
